seat_id, auditorium_id, row_position, column_position
SEAT-B08, AUD04, 01, 08
SEAT-B09, AUD04, 01, 09
SEAT-B10, AUD04, 01, 10
SEAT-B11, AUD04, 01, 11
SEAT-B12, AUD04, 01, 12
SEAT-B13, AUD04, 01, 13
SEAT-B14, AUD04, 01, 14
SEAT-B15, AUD04, 01, 15
SEAT-B16, AUD04, 01, 16
SEAT-B17, AUD04, 01, 17
SEAT-C01, AUD04, 02, 01
SEAT-C02, AUD04, 02, 02
SEAT-C03, AUD04, 02, 03
SEAT-C04, AUD04, 02, 04
SEAT-C05, AUD04, 02, 05
SEAT-C06, AUD04, 02, 06
SEAT-C07, AUD04, 02, 07
SEAT-C08, AUD04, 02, 08
SEAT-C09, AUD04, 02, 09
SEAT-C10, AUD04, 02, 10
SEAT-C11, AUD04, 02, 11
SEAT-C12, AUD04, 02, 12
SEAT-C13, AUD04, 02, 13
SEAT-C14, AUD04, 02, 14
SEAT-C15, AUD04, 02, 15
SEAT-C16, AUD04, 02, 16
SEAT-C17, AUD04, 02, 17
SEAT-D01, AUD04, 03, 01
SEAT-D02, AUD04, 03, 02
SEAT-D03, AUD04, 03, 03
SEAT-D04, AUD04, 03, 04
SEAT-D05, AUD04, 03, 05
SEAT-D06, AUD04, 03, 06
SEAT-D07, AUD04, 03, 07
SEAT-D08, AUD04, 03, 08
SEAT-D09, AUD04, 03, 09
SEAT-D10, AUD04, 03, 10
SEAT-D11, AUD04, 03, 11
SEAT-D12, AUD04, 03, 12
SEAT-D13, AUD04, 03, 13
SEAT-D14, AUD04, 03, 14
SEAT-D15, AUD04, 03, 15
SEAT-D16, AUD04, 03, 16
SEAT-D17, AUD04, 03, 17
SEAT-E01, AUD04, 04, 01
SEAT-E02, AUD04, 04, 02
SEAT-E03, AUD04, 04, 03
SEAT-E04, AUD04, 04, 04
SEAT-E05, AUD04, 04, 05
SEAT-E06, AUD04, 04, 06
SEAT-E07, AUD04, 04, 07
SEAT-E08, AUD04, 04, 08
SEAT-E09, AUD04, 04, 09
SEAT-E10, AUD04, 04, 10
SEAT-E11, AUD04, 04, 11
SEAT-E12, AUD04, 04, 12
SEAT-E13, AUD04, 04, 13
SEAT-E14, AUD04, 04, 14
SEAT-E15, AUD04, 04, 15
SEAT-E16, AUD04, 04, 16
SEAT-E17, AUD04, 04, 17
SEAT-F01, AUD04, 05, 01
SEAT-F02, AUD04, 05, 02
SEAT-F03, AUD04, 05, 03
SEAT-F04, AUD04, 05, 04
SEAT-F05, AUD04, 05, 05
SEAT-F06, AUD04, 05, 06
SEAT-F07, AUD04, 05, 07
SEAT-F08, AUD04, 05, 08
SEAT-F09, AUD04, 05, 09
SEAT-F10, AUD04, 05, 10
SEAT-F11, AUD04, 05, 11
SEAT-F12, AUD04, 05, 12
SEAT-F13, AUD04, 05, 13
SEAT-F14, AUD04, 05, 14
SEAT-F15, AUD04, 05, 15
SEAT-F16, AUD04, 05, 16
SEAT-F17, AUD04, 05, 17
SEAT-G01, AUD04, 06, 01
SEAT-G02, AUD04, 06, 02
SEAT-G03, AUD04, 06, 03
SEAT-G04, AUD04, 06, 04
SEAT-G05, AUD04, 06, 05
SEAT-G06, AUD04, 06, 06
SEAT-G07, AUD04, 06, 07
SEAT-G08, AUD04, 06, 08
SEAT-G09, AUD04, 06, 09
SEAT-G10, AUD04, 06, 10
SEAT-G11, AUD04, 06, 11
SEAT-G12, AUD04, 06, 12
SEAT-G13, AUD04, 06, 13
SEAT-G14, AUD04, 06, 14
SEAT-G15, AUD04, 06, 15
SEAT-G16, AUD04, 06, 16
SEAT-G17, AUD04, 06, 17
SEAT-H01, AUD04, 07, 01
SEAT-H02, AUD04, 07, 02
SEAT-H03, AUD04, 07, 03
SEAT-H04, AUD04, 07, 04
SEAT-H05, AUD04, 07, 05
SEAT-H06, AUD04, 07, 06
SEAT-H07, AUD04, 07, 07
SEAT-H08, AUD04, 07, 08
SEAT-H09, AUD04, 07, 09
SEAT-H10, AUD04, 07, 10
SEAT-H11, AUD04, 07, 11
SEAT-H12, AUD04, 07, 12
SEAT-H13, AUD04, 07, 13
SEAT-H14, AUD04, 07, 14
SEAT-H15, AUD04, 07, 15
SEAT-H16, AUD04, 07, 16
SEAT-H17, AUD04, 07, 17
SEAT-I01, AUD04, 08, 01
SEAT-I02, AUD04, 08, 02
SEAT-I03, AUD04, 08, 03
SEAT-I04, AUD04, 08, 04
SEAT-I05, AUD04, 08, 05
SEAT-I06, AUD04, 08, 06
SEAT-I07, AUD04, 08, 07
SEAT-I08, AUD04, 08, 08
SEAT-I09, AUD04, 08, 09
SEAT-I10, AUD04, 08, 10
SEAT-I11, AUD04, 08, 11
SEAT-I12, AUD04, 08, 12
SEAT-I13, AUD04, 08, 13
SEAT-I14, AUD04, 08, 14
SEAT-I15, AUD04, 08, 15
SEAT-I16, AUD04, 08, 16
SEAT-I17, AUD04, 08, 17
SEAT-J01, AUD04, 09, 01
SEAT-J02, AUD04, 09, 02
SEAT-J03, AUD04, 09, 03
SEAT-J04, AUD04, 09, 04
SEAT-J05, AUD04, 09, 05
SEAT-J06, AUD04, 09, 06
SEAT-J07, AUD04, 09, 07
SEAT-J08, AUD04, 09, 08
SEAT-J09, AUD04, 09, 09
SEAT-J10, AUD04, 09, 10
SEAT-J11, AUD04, 09, 11
SEAT-J12, AUD04, 09, 12
SEAT-J13, AUD04, 09, 13
SEAT-J14, AUD04, 09, 14
SEAT-J15, AUD04, 09, 15
SEAT-J16, AUD04, 09, 16
SEAT-J17, AUD04, 09, 17
SEAT-K01, AUD04, 10, 01
SEAT-K02, AUD04, 10, 02
SEAT-K03, AUD04, 10, 03
SEAT-K04, AUD04, 10, 04
SEAT-K05, AUD04, 10, 05
SEAT-K06, AUD04, 10, 06
SEAT-K07, AUD04, 10, 07
SEAT-K08, AUD04, 10, 08
SEAT-K09, AUD04, 10, 09
SEAT-K10, AUD04, 10, 10
SEAT-K11, AUD04, 10, 11
SEAT-K12, AUD04, 10, 12
SEAT-K13, AUD04, 10, 13
SEAT-K14, AUD04, 10, 14
SEAT-K15, AUD04, 10, 15
SEAT-K16, AUD04, 10, 16
SEAT-K17, AUD04, 10, 17
SEAT-L01, AUD04, 11, 01
SEAT-L02, AUD04, 11, 02
SEAT-L03, AUD04, 11, 03
SEAT-L04, AUD04, 11, 04
SEAT-L05, AUD04, 11, 05
SEAT-L06, AUD04, 11, 06
SEAT-L07, AUD04, 11, 07
SEAT-L08, AUD04, 11, 08
SEAT-L09, AUD04, 11, 09
SEAT-L10, AUD04, 11, 10
SEAT-L11, AUD04, 11, 11
SEAT-L12, AUD04, 11, 12
SEAT-L13, AUD04, 11, 13
SEAT-L14, AUD04, 11, 14
SEAT-L15, AUD04, 11, 15
SEAT-L16, AUD04, 11, 16
SEAT-L17, AUD04, 11, 17
SEAT-M01, AUD04, 12, 01
SEAT-M02, AUD04, 12, 02
SEAT-M03, AUD04, 12, 03
SEAT-M04, AUD04, 12, 04
SEAT-M05, AUD04, 12, 05
SEAT-M06, AUD04, 12, 06
SEAT-M07, AUD04, 12, 07
SEAT-M08, AUD04, 12, 08
SEAT-M09, AUD04, 12, 09
SEAT-M10, AUD04, 12, 10
SEAT-M11, AUD04, 12, 11
SEAT-M12, AUD04, 12, 12
SEAT-M13, AUD04, 12, 13
SEAT-M14, AUD04, 12, 14
SEAT-M15, AUD04, 12, 15
SEAT-M16, AUD04, 12, 16
SEAT-M17, AUD04, 12, 17
SEAT-A01, AUD05, 00, 01
SEAT-A02, AUD05, 00, 02
SEAT-A03, AUD05, 00, 03
SEAT-A04, AUD05, 00, 04
SEAT-A05, AUD05, 00, 05
SEAT-A06, AUD05, 00, 06
SEAT-A07, AUD05, 00, 07
SEAT-A08, AUD05, 00, 08
SEAT-A09, AUD05, 00, 09
SEAT-A10, AUD05, 00, 10
SEAT-A11, AUD05, 00, 11
SEAT-A12, AUD05, 00, 12
SEAT-A13, AUD05, 00, 13
SEAT-A14, AUD05, 00, 14
SEAT-A15, AUD05, 00, 15
SEAT-A16, AUD05, 00, 16
SEAT-A17, AUD05, 00, 17
SEAT-A18, AUD05, 00, 18
SEAT-A19, AUD05, 00, 19
SEAT-A20, AUD05, 00, 20
SEAT-B01, AUD05, 01, 01
SEAT-B02, AUD05, 01, 02
SEAT-B03, AUD05, 01, 03
SEAT-B04, AUD05, 01, 04
SEAT-B05, AUD05, 01, 05
SEAT-B06, AUD05, 01, 06
SEAT-B07, AUD05, 01, 07
SEAT-B08, AUD05, 01, 08
SEAT-B09, AUD05, 01, 09
SEAT-B10, AUD05, 01, 10
SEAT-B11, AUD05, 01, 11
SEAT-B12, AUD05, 01, 12
SEAT-B13, AUD05, 01, 13
SEAT-B14, AUD05, 01, 14
SEAT-B15, AUD05, 01, 15
SEAT-B16, AUD05, 01, 16
SEAT-B17, AUD05, 01, 17
SEAT-B18, AUD05, 01, 18
SEAT-B19, AUD05, 01, 19
SEAT-B20, AUD05, 01, 20
SEAT-C01, AUD05, 02, 01
SEAT-C02, AUD05, 02, 02
SEAT-C03, AUD05, 02, 03
SEAT-C04, AUD05, 02, 04
SEAT-C05, AUD05, 02, 05
SEAT-C06, AUD05, 02, 06
SEAT-C07, AUD05, 02, 07
SEAT-C08, AUD05, 02, 08
SEAT-C09, AUD05, 02, 09
SEAT-C10, AUD05, 02, 10
SEAT-C11, AUD05, 02, 11
SEAT-C12, AUD05, 02, 12
SEAT-C13, AUD05, 02, 13
SEAT-C14, AUD05, 02, 14
SEAT-C15, AUD05, 02, 15
SEAT-C16, AUD05, 02, 16
SEAT-C17, AUD05, 02, 17
SEAT-C18, AUD05, 02, 18
SEAT-C19, AUD05, 02, 19
SEAT-C20, AUD05, 02, 20
SEAT-D01, AUD05, 03, 01
SEAT-D02, AUD05, 03, 02
SEAT-D03, AUD05, 03, 03
SEAT-D04, AUD05, 03, 04
SEAT-D05, AUD05, 03, 05
SEAT-D06, AUD05, 03, 06
SEAT-D07, AUD05, 03, 07
SEAT-D08, AUD05, 03, 08
SEAT-D09, AUD05, 03, 09
SEAT-D10, AUD05, 03, 10
SEAT-D11, AUD05, 03, 11
SEAT-D12, AUD05, 03, 12
SEAT-D13, AUD05, 03, 13
SEAT-D14, AUD05, 03, 14
SEAT-D15, AUD05, 03, 15
SEAT-D16, AUD05, 03, 16
SEAT-D17, AUD05, 03, 17
SEAT-D18, AUD05, 03, 18
SEAT-D19, AUD05, 03, 19
SEAT-D20, AUD05, 03, 20
SEAT-E01, AUD05, 04, 01
SEAT-E02, AUD05, 04, 02
SEAT-E03, AUD05, 04, 03
SEAT-E04, AUD05, 04, 04
SEAT-E05, AUD05, 04, 05
SEAT-E06, AUD05, 04, 06
SEAT-E07, AUD05, 04, 07
SEAT-E08, AUD05, 04, 08
SEAT-E09, AUD05, 04, 09
SEAT-E10, AUD05, 04, 10
SEAT-E11, AUD05, 04, 11
SEAT-E12, AUD05, 04, 12
SEAT-E13, AUD05, 04, 13
SEAT-E14, AUD05, 04, 14
SEAT-E15, AUD05, 04, 15
SEAT-E16, AUD05, 04, 16
SEAT-E17, AUD05, 04, 17
SEAT-E18, AUD05, 04, 18
SEAT-E19, AUD05, 04, 19
SEAT-E20, AUD05, 04, 20
SEAT-F01, AUD05, 05, 01
SEAT-F02, AUD05, 05, 02
SEAT-F03, AUD05, 05, 03
SEAT-F04, AUD05, 05, 04
SEAT-F05, AUD05, 05, 05
SEAT-F06, AUD05, 05, 06
SEAT-F07, AUD05, 05, 07
SEAT-F08, AUD05, 05, 08
SEAT-F09, AUD05, 05, 09
SEAT-F10, AUD05, 05, 10
SEAT-F11, AUD05, 05, 11
SEAT-F12, AUD05, 05, 12
SEAT-F13, AUD05, 05, 13
SEAT-F14, AUD05, 05, 14
SEAT-F15, AUD05, 05, 15
SEAT-F16, AUD05, 05, 16
SEAT-F17, AUD05, 05, 17
SEAT-F18, AUD05, 05, 18
SEAT-F19, AUD05, 05, 19
SEAT-F20, AUD05, 05, 20
SEAT-G01, AUD05, 06, 01
SEAT-G02, AUD05, 06, 02
SEAT-G03, AUD05, 06, 03
SEAT-G04, AUD05, 06, 04
SEAT-G05, AUD05, 06, 05
SEAT-G06, AUD05, 06, 06
SEAT-G07, AUD05, 06, 07
SEAT-G08, AUD05, 06, 08
SEAT-G09, AUD05, 06, 09
SEAT-G10, AUD05, 06, 10
SEAT-G11, AUD05, 06, 11
SEAT-G12, AUD05, 06, 12
SEAT-G13, AUD05, 06, 13
SEAT-G14, AUD05, 06, 14
SEAT-G15, AUD05, 06, 15
SEAT-G16, AUD05, 06, 16
SEAT-G17, AUD05, 06, 17
SEAT-G18, AUD05, 06, 18
SEAT-G19, AUD05, 06, 19
SEAT-G20, AUD05, 06, 20
SEAT-A01, AUD06, 00, 01
SEAT-A02, AUD06, 00, 02
SEAT-A03, AUD06, 00, 03
SEAT-A04, AUD06, 00, 04
SEAT-A05, AUD06, 00, 05
SEAT-A06, AUD06, 00, 06
SEAT-A07, AUD06, 00, 07
SEAT-A08, AUD06, 00, 08
SEAT-A09, AUD06, 00, 09
SEAT-A10, AUD06, 00, 10
SEAT-A11, AUD06, 00, 11
SEAT-A12, AUD06, 00, 12
SEAT-A13, AUD06, 00, 13
SEAT-A14, AUD06, 00, 14
SEAT-A15, AUD06, 00, 15
SEAT-A16, AUD06, 00, 16
SEAT-A17, AUD06, 00, 17
SEAT-A18, AUD06, 00, 18
SEAT-A19, AUD06, 00, 19
SEAT-A20, AUD06, 00, 20
SEAT-A21, AUD06, 00, 21
SEAT-A22, AUD06, 00, 22
SEAT-A23, AUD06, 00, 23
SEAT-A24, AUD06, 00, 24
SEAT-A25, AUD06, 00, 25
SEAT-B01, AUD06, 01, 01
SEAT-B02, AUD06, 01, 02
SEAT-B03, AUD06, 01, 03
SEAT-B04, AUD06, 01, 04
SEAT-B05, AUD06, 01, 05
SEAT-B06, AUD06, 01, 06
